duration,month,hour,day_of_week,user_type
8.42,9,7,Tuesday,Subscriber
8.75,9,7,Tuesday,Subscriber
4.32,9,7,Tuesday,Subscriber
11.58,9,7,Tuesday,Subscriber
7.55,9,8,Tuesday,Subscriber
8.03,9,8,Tuesday,Subscriber
6.65,9,9,Tuesday,Subscriber
379.27,9,9,Tuesday,Customer
21.8,9,11,Tuesday,Subscriber
11.72,9,12,Tuesday,Subscriber
16.18,9,13,Tuesday,Subscriber
7.98,9,16,Tuesday,Subscriber
9.67,9,17,Tuesday,Subscriber
10.58,9,17,Tuesday,Subscriber
6.95,9,17,Tuesday,Subscriber
13.52,9,18,Tuesday,Subscriber
11.37,9,18,Tuesday,Subscriber
4.18,9,18,Tuesday,Subscriber
4.68,9,19,Tuesday,Subscriber
16.77,9,19,Tuesday,Subscriber
23.5,9,19,Tuesday,Subscriber
4.35,9,21,Tuesday,Subscriber
4.53,9,7,Wednesday,Subscriber
5.05,9,7,Wednesday,Subscriber
3.48,9,7,Wednesday,Subscriber
4.47,9,8,Wednesday,Subscriber
6.12,9,8,Wednesday,Subscriber
5.27,9,9,Wednesday,Subscriber
2.92,9,9,Wednesday,Subscriber
11.33,9,9,Wednesday,Subscriber
13.88,9,12,Wednesday,Subscriber
13.05,9,14,Wednesday,Subscriber
21.0,9,14,Wednesday,Subscriber
2.98,9,15,Wednesday,Subscriber
2.43,9,15,Wednesday,Subscriber
5.37,9,16,Wednesday,Subscriber
7.35,9,16,Wednesday,Subscriber
11.22,9,16,Wednesday,Subscriber
5.83,9,16,Wednesday,Subscriber
14.5,9,17,Wednesday,Subscriber
5.7,9,17,Wednesday,Subscriber
4.02,9,17,Wednesday,Subscriber
10.42,9,17,Wednesday,Subscriber
7.8,9,18,Wednesday,Subscriber
12.42,9,18,Wednesday,Subscriber
12.3,9,18,Wednesday,Subscriber
8.5,9,19,Wednesday,Subscriber
4.0,9,19,Wednesday,Subscriber
4.07,9,20,Wednesday,Subscriber
19.1,10,1,Thursday,Subscriber
9.18,10,6,Thursday,Customer
12.58,10,7,Thursday,Subscriber
20.28,10,7,Thursday,Subscriber
20.62,10,8,Thursday,Subscriber
9.25,10,8,Thursday,Subscriber
1.97,10,8,Thursday,Subscriber
5.8,10,9,Thursday,Subscriber
1.68,10,11,Thursday,Subscriber
3.33,10,17,Thursday,Subscriber
14.68,10,17,Thursday,Subscriber
7.82,10,17,Thursday,Subscriber
8.08,10,17,Thursday,Customer
8.35,10,18,Thursday,Subscriber
5.37,10,18,Thursday,Subscriber
6.05,10,18,Thursday,Subscriber
15.67,10,18,Thursday,Subscriber
8.23,10,18,Thursday,Customer
3.82,10,18,Thursday,Subscriber
21.53,10,19,Thursday,Customer
6.2,10,23,Thursday,Subscriber
3.83,10,0,Friday,Subscriber
13.17,10,6,Friday,Subscriber
8.03,10,6,Friday,Subscriber
5.28,10,7,Friday,Subscriber
3.78,10,7,Friday,Subscriber
8.38,10,7,Friday,Subscriber
3.9,10,9,Friday,Subscriber
9.25,10,9,Friday,Subscriber
11.77,10,9,Friday,Subscriber
9.25,10,9,Friday,Subscriber
2.05,10,9,Friday,Subscriber
8.0,10,9,Friday,Customer
8.17,10,9,Friday,Subscriber
7.87,10,10,Friday,Subscriber
7.22,10,10,Friday,Subscriber
5.37,10,10,Friday,Subscriber
11.78,10,11,Friday,Subscriber
4.37,10,11,Friday,Subscriber
22.08,10,12,Friday,Customer
11.13,10,12,Friday,Subscriber
13.02,10,14,Friday,Subscriber
8.32,10,16,Friday,Subscriber
9.48,10,17,Friday,Subscriber
5.95,10,17,Friday,Subscriber
11.48,10,17,Friday,Subscriber
8.63,10,17,Friday,Subscriber
6.52,10,18,Friday,Subscriber
4.63,10,18,Friday,Subscriber
7.4,10,18,Friday,Subscriber
39.52,10,0,Saturday,Customer
2.57,10,7,Saturday,Subscriber
17.78,10,7,Saturday,Subscriber
98.05,10,7,Saturday,Customer
35.52,10,9,Saturday,Customer
9.1,10,11,Saturday,Customer
181.7,10,14,Saturday,Customer
9.18,10,15,Saturday,Customer
8.87,10,15,Saturday,Customer
12.48,10,16,Saturday,Subscriber
9.03,10,18,Saturday,Subscriber
11.32,10,8,Sunday,Subscriber
27.43,10,11,Sunday,Customer
6.03,10,14,Sunday,Customer
9.3,10,6,Monday,Subscriber
5.58,10,7,Monday,Subscriber
5.98,10,8,Monday,Subscriber
5.43,10,8,Monday,Subscriber
4.93,10,8,Monday,Subscriber
9.02,10,9,Monday,Subscriber
10.98,10,9,Monday,Subscriber
6.37,10,9,Monday,Subscriber
15.57,10,10,Monday,Subscriber
8.58,10,11,Monday,Subscriber
5.0,10,12,Monday,Subscriber
2.43,10,12,Monday,Subscriber
7.97,10,15,Monday,Subscriber
18.32,10,15,Monday,Subscriber
8.05,10,16,Monday,Subscriber
8.07,10,16,Monday,Subscriber
2.78,10,16,Monday,Subscriber
11.02,10,16,Monday,Subscriber
8.93,10,17,Monday,Subscriber
3.88,10,17,Monday,Subscriber
14.2,10,18,Monday,Subscriber
13.82,10,18,Monday,Subscriber
5.2,10,18,Monday,Subscriber
5.98,10,18,Monday,Subscriber
6.2,10,22,Monday,Subscriber
7.35,10,5,Tuesday,Subscriber
10.7,10,6,Tuesday,Subscriber
5.32,10,7,Tuesday,Subscriber
10.0,10,7,Tuesday,Subscriber
6.12,10,7,Tuesday,Subscriber
16.17,10,8,Tuesday,Subscriber
8.45,10,8,Tuesday,Subscriber
13.37,10,8,Tuesday,Subscriber
7.85,10,8,Tuesday,Subscriber
8.67,10,8,Tuesday,Subscriber
11.78,10,9,Tuesday,Subscriber
3.63,10,9,Tuesday,Subscriber
5.15,10,9,Tuesday,Subscriber
10.82,10,10,Tuesday,Subscriber
14.82,10,10,Tuesday,Subscriber
2.92,10,11,Tuesday,Subscriber
9.95,10,11,Tuesday,Subscriber
5.55,10,12,Tuesday,Subscriber
12.93,10,16,Tuesday,Subscriber
4.27,10,16,Tuesday,Subscriber
17.47,10,16,Tuesday,Subscriber
8.58,10,17,Tuesday,Subscriber
7.53,10,17,Tuesday,Customer
16.22,10,17,Tuesday,Subscriber
6.28,10,17,Tuesday,Subscriber
21.62,10,17,Tuesday,Customer
4.1,10,18,Tuesday,Subscriber
8.37,10,18,Tuesday,Subscriber
5.88,10,20,Tuesday,Subscriber
16.08,10,20,Tuesday,Subscriber
3.45,10,21,Tuesday,Subscriber
6.3,10,2,Wednesday,Subscriber
4.78,10,7,Wednesday,Subscriber
8.65,10,7,Wednesday,Subscriber
7.62,10,7,Wednesday,Subscriber
11.87,10,7,Wednesday,Subscriber
7.7,10,8,Wednesday,Subscriber
7.23,10,8,Wednesday,Subscriber
10.58,10,8,Wednesday,Subscriber
3.73,10,9,Wednesday,Subscriber
9.72,10,9,Wednesday,Subscriber
4.72,10,12,Wednesday,Subscriber
9.38,10,13,Wednesday,Subscriber
11.07,10,13,Wednesday,Subscriber
99.57,10,14,Wednesday,Customer
13.78,10,15,Wednesday,Subscriber
8.42,10,16,Wednesday,Subscriber
11.83,10,17,Wednesday,Subscriber
9.78,10,17,Wednesday,Subscriber
7.3,10,17,Wednesday,Subscriber
5.65,10,17,Wednesday,Subscriber
9.3,10,17,Wednesday,Subscriber
15.55,10,18,Wednesday,Subscriber
11.85,10,19,Wednesday,Subscriber
5.72,10,7,Thursday,Subscriber
10.5,10,7,Thursday,Subscriber
20.17,10,8,Thursday,Subscriber
13.32,10,8,Thursday,Subscriber
10.38,10,8,Thursday,Subscriber
